domain_group,model,n_claims,n_citations,exists_rate,exists_ci,fabricated_rate,fabricated_ci,ambiguous_rate,ambiguous_ci
Humanities,ALL,24,2917,0.097,"[0.086, 0.108]",0.287,"[0.270, 0.303]",0.616,"[0.598, 0.634]"
Humanities,Qwen/Qwen2.5-14B-Instruct,24,731,0.04,"[0.027, 0.053]",0.404,"[0.368, 0.439]",0.557,"[0.521, 0.592]"
Humanities,claude-sonnet-4-5-20250929,24,715,0.192,"[0.162, 0.220]",0.208,"[0.180, 0.238]",0.6,"[0.564, 0.635]"
Humanities,gpt-4o,24,727,0.131,"[0.107, 0.157]",0.261,"[0.230, 0.293]",0.608,"[0.575, 0.644]"
Humanities,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,744,0.03,"[0.017, 0.043]",0.273,"[0.241, 0.305]",0.698,"[0.665, 0.728]"
Interdisciplinary,ALL,24,2892,0.089,"[0.079, 0.100]",0.414,"[0.395, 0.432]",0.498,"[0.481, 0.515]"
Interdisciplinary,Qwen/Qwen2.5-14B-Instruct,24,714,0.014,"[0.006, 0.022]",0.518,"[0.483, 0.555]",0.468,"[0.433, 0.504]"
Interdisciplinary,claude-sonnet-4-5-20250929,24,723,0.243,"[0.216, 0.271]",0.292,"[0.259, 0.326]",0.465,"[0.429, 0.498]"
Interdisciplinary,gpt-4o,24,718,0.085,"[0.065, 0.104]",0.419,"[0.383, 0.455]",0.496,"[0.461, 0.533]"
Interdisciplinary,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,737,0.014,"[0.005, 0.023]",0.426,"[0.388, 0.463]",0.56,"[0.522, 0.596]"
Medicine & Health,ALL,24,2900,0.109,"[0.097, 0.120]",0.37,"[0.352, 0.387]",0.521,"[0.504, 0.539]"
Medicine & Health,Qwen/Qwen2.5-14B-Instruct,24,699,0.034,"[0.021, 0.049]",0.471,"[0.433, 0.509]",0.495,"[0.459, 0.528]"
Medicine & Health,claude-sonnet-4-5-20250929,24,728,0.302,"[0.269, 0.337]",0.234,"[0.203, 0.264]",0.464,"[0.431, 0.500]"
Medicine & Health,gpt-4o,24,728,0.082,"[0.063, 0.104]",0.365,"[0.332, 0.400]",0.552,"[0.518, 0.591]"
Medicine & Health,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,745,0.015,"[0.007, 0.024]",0.413,"[0.377, 0.448]",0.572,"[0.534, 0.609]"
Natural Sciences,ALL,24,2894,0.104,"[0.093, 0.115]",0.365,"[0.347, 0.383]",0.531,"[0.513, 0.548]"
Natural Sciences,Qwen/Qwen2.5-14B-Instruct,24,708,0.027,"[0.016, 0.040]",0.475,"[0.435, 0.513]",0.499,"[0.462, 0.535]"
Natural Sciences,claude-sonnet-4-5-20250929,24,739,0.275,"[0.244, 0.304]",0.24,"[0.210, 0.271]",0.486,"[0.449, 0.520]"
Natural Sciences,gpt-4o,24,705,0.089,"[0.070, 0.112]",0.343,"[0.311, 0.377]",0.567,"[0.528, 0.603]"
Natural Sciences,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,742,0.022,"[0.012, 0.032]",0.407,"[0.373, 0.446]",0.571,"[0.538, 0.605]"
SE & CS,ALL,24,2926,0.132,"[0.120, 0.145]",0.403,"[0.386, 0.421]",0.464,"[0.445, 0.481]"
SE & CS,Qwen/Qwen2.5-14B-Instruct,24,717,0.02,"[0.010, 0.031]",0.515,"[0.480, 0.554]",0.466,"[0.430, 0.502]"
SE & CS,claude-sonnet-4-5-20250929,24,744,0.349,"[0.317, 0.386]",0.253,"[0.223, 0.284]",0.398,"[0.362, 0.431]"
SE & CS,gpt-4o,24,725,0.126,"[0.102, 0.150]",0.397,"[0.360, 0.433]",0.477,"[0.439, 0.513]"
SE & CS,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,740,0.03,"[0.018, 0.043]",0.453,"[0.418, 0.486]",0.518,"[0.482, 0.555]"
Social Sciences,ALL,24,2914,0.187,"[0.174, 0.202]",0.384,"[0.367, 0.403]",0.429,"[0.411, 0.446]"
Social Sciences,Qwen/Qwen2.5-14B-Instruct,24,721,0.078,"[0.058, 0.098]",0.512,"[0.477, 0.546]",0.411,"[0.373, 0.444]"
Social Sciences,claude-sonnet-4-5-20250929,24,744,0.367,"[0.332, 0.403]",0.219,"[0.191, 0.250]",0.414,"[0.378, 0.449]"
Social Sciences,gpt-4o,24,708,0.22,"[0.191, 0.250]",0.384,"[0.349, 0.421]",0.395,"[0.362, 0.432]"
Social Sciences,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,741,0.081,"[0.063, 0.101]",0.426,"[0.394, 0.462]",0.493,"[0.455, 0.529]"
