model,model_display,condition,condition_display,topic_id,frac_existing
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t001,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t002,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t003,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t004,0.400000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t005,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t006,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t007,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t008,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t009,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t010,0.400000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t011,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t012,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t013,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t014,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t015,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t016,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t017,0.600000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t018,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t019,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t020,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t021,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t022,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t023,0.600000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t024,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t025,0.400000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t026,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t027,0.400000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t028,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t029,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t030,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t031,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t032,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t033,0.400000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t034,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t035,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t036,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t037,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t038,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t039,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t040,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t041,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t042,0.000000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t043,0.200000
Qwen/Qwen2.5-14B-Instruct,Qwen 2.5-14B,baseline,Baseline,t044,0.000000
