model,condition,n_topics,fabricated_rate_mean,fabricated_rate_ci_lo,fabricated_rate_ci_hi,fabricated_rate_ci,exists_rate_mean,exists_rate_ci_lo,exists_rate_ci_hi,exists_rate_ci,ambiguous_rate_mean,ambiguous_rate_ci_lo,ambiguous_rate_ci_hi,ambiguous_rate_ci,temporal_violation_rate_mean,temporal_violation_rate_ci_lo,temporal_violation_rate_ci_hi,temporal_violation_rate_ci,num_citations_mean,num_citations_ci_lo,num_citations_ci_hi,num_citations_ci
Qwen/Qwen2.5-14B-Instruct,baseline,144,0.44201388888888893,0.3982465277777778,0.4857725694444445,"[0.398, 0.486]",0.09027777777777778,0.06527777777777778,0.11805555555555555,"[0.065, 0.118]",0.4677083333333334,0.4253385416666667,0.5104253472222222,"[0.425, 0.510]",0.0,0.0,0.0,"[0.000, 0.000]",4.979166666666667,4.951388888888889,5.0,"[4.951, 5.000]"
claude-sonnet-4-5-20250929,baseline,144,0.15694444444444444,0.1263888888888889,0.19027777777777777,"[0.126, 0.190]",0.38055555555555554,0.3347222222222222,0.4264236111111111,"[0.335, 0.426]",0.46249999999999997,0.4194444444444445,0.5041666666666667,"[0.419, 0.504]",0.0,0.0,0.0,"[0.000, 0.000]",5.0,5.0,5.0,"[5.000, 5.000]"
gpt-4o,baseline,144,0.2811188811188811,0.2391608391608392,0.32727272727272727,"[0.239, 0.327]",0.234965034965035,0.18881118881118883,0.2811188811188811,"[0.189, 0.281]",0.48391608391608393,0.4405594405594406,0.5258741258741259,"[0.441, 0.526]",0.0,0.0,0.0,"[0.000, 0.000]",4.965277777777778,4.895833333333333,5.0,"[4.896, 5.000]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,baseline,144,0.36909722222222224,0.3270746527777778,0.4111197916666667,"[0.327, 0.411]",0.06805555555555556,0.04861111111111111,0.09027777777777778,"[0.049, 0.090]",0.5628472222222222,0.5183940972222222,0.6048697916666667,"[0.518, 0.605]",0.0,0.0,0.0,"[0.000, 0.000]",4.979166666666667,4.951388888888889,5.0,"[4.951, 5.000]"
Qwen/Qwen2.5-14B-Instruct,combo,144,0.5072751322751322,0.46759259259259256,0.5428716104497355,"[0.468, 0.543]",0.0008680555555555555,0.0,0.0026041666666666665,"[0.000, 0.003]",0.49185681216931226,0.4576657572751322,0.5286055307539682,"[0.458, 0.529]",0.0,0.0,0.0,"[0.000, 0.000]",7.555555555555555,7.388888888888889,7.722222222222222,"[7.389, 7.722]"
claude-sonnet-4-5-20250929,combo,144,0.3585766423357664,0.3175182481751825,0.3987226277372263,"[0.318, 0.399]",0.10583941605839416,0.07753193430656935,0.14233576642335766,"[0.078, 0.142]",0.5355839416058394,0.4981751824817518,0.572992700729927,"[0.498, 0.573]",0.02737226277372263,0.011861313868613138,0.04564324817518246,"[0.012, 0.046]",7.611111111111111,7.277777777777778,7.888888888888889,"[7.278, 7.889]"
gpt-4o,combo,144,0.4521897810218978,0.4178132603406326,0.4887591240875913,"[0.418, 0.489]",0.004562043795620438,0.0,0.011861313868613138,"[0.000, 0.012]",0.5432481751824817,0.5064385644768856,0.5770544403892944,"[0.506, 0.577]",0.0,0.0,0.0,"[0.000, 0.000]",7.381944444444445,7.048611111111111,7.618229166666667,"[7.049, 7.618]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,combo,144,0.38587962962962963,0.34333333333333327,0.4229340277777778,"[0.343, 0.423]",0.0078125,0.0026041666666666665,0.013888888888888888,"[0.003, 0.014]",0.6063078703703704,0.5649189814814815,0.6415075231481482,"[0.565, 0.642]",0.0,0.0,0.0,"[0.000, 0.000]",7.986111111111111,7.9375,8.020833333333334,"[7.938, 8.021]"
Qwen/Qwen2.5-14B-Instruct,privacy,144,0.41041666666666665,0.36803819444444447,0.452795138888889,"[0.368, 0.453]",0.07777777777777778,0.05413194444444445,0.10416666666666667,"[0.054, 0.104]",0.5118055555555555,0.4708159722222222,0.5548611111111111,"[0.471, 0.555]",0.0,0.0,0.0,"[0.000, 0.000]",4.993055555555555,4.979166666666667,5.0,"[4.979, 5.000]"
claude-sonnet-4-5-20250929,privacy,144,0.1645390070921986,0.12907801418439718,0.20145390070921984,"[0.129, 0.201]",0.34893617021276596,0.3021276595744681,0.3971631205673759,"[0.302, 0.397]",0.48652482269503544,0.44677304964539005,0.527695035460993,"[0.447, 0.528]",0.0,0.0,0.0,"[0.000, 0.000]",4.895833333333333,4.756944444444445,5.0,"[4.757, 5.000]"
gpt-4o,privacy,144,0.3166666666666667,0.2708333333333333,0.3597222222222223,"[0.271, 0.360]",0.17500000000000002,0.14166666666666666,0.20972222222222223,"[0.142, 0.210]",0.5083333333333333,0.4694444444444444,0.5486111111111112,"[0.469, 0.549]",0.0,0.0,0.0,"[0.000, 0.000]",5.0,5.0,5.0,"[5.000, 5.000]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,privacy,144,0.3982638888888889,0.3569444444444445,0.4347395833333334,"[0.357, 0.435]",0.04479166666666667,0.029166666666666667,0.06562499999999999,"[0.029, 0.066]",0.5569444444444445,0.514921875,0.600703125,"[0.515, 0.601]",0.0,0.0,0.0,"[0.000, 0.000]",4.972222222222222,4.944444444444445,4.993055555555555,"[4.944, 4.993]"
Qwen/Qwen2.5-14B-Instruct,survey,144,0.5472056878306879,0.508974041005291,0.5842623594576719,"[0.509, 0.584]",0.019799933862433863,0.008680555555555556,0.03224929728835978,"[0.009, 0.032]",0.43299437830687837,0.3998383763227513,0.4675682043650794,"[0.400, 0.468]",0.0,0.0,0.0,"[0.000, 0.000]",7.277777777777778,7.090277777777778,7.444444444444445,"[7.090, 7.444]"
claude-sonnet-4-5-20250929,survey,144,0.16145833333333334,0.1328125,0.1892361111111111,"[0.133, 0.189]",0.4748263888888889,0.4253255208333333,0.5225694444444444,"[0.425, 0.523]",0.3637152777777778,0.3237630208333333,0.4027777777777778,"[0.324, 0.403]",0.0,0.0,0.0,"[0.000, 0.000]",8.0,8.0,8.0,"[8.000, 8.000]"
gpt-4o,survey,144,0.3022893772893773,0.261753663003663,0.345123001998002,"[0.262, 0.345]",0.2029137529137529,0.16461392773892772,0.24580419580419574,"[0.165, 0.246]",0.49479686979686976,0.45695034132534124,0.5357215700965701,"[0.457, 0.536]",0.0,0.0,0.0,"[0.000, 0.000]",7.590277777777778,7.402777777777778,7.75,"[7.403, 7.750]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,survey,144,0.43608079805996475,0.39217992173721344,0.47489838238536153,"[0.392, 0.475]",0.03772597001763668,0.025171199845679015,0.05258384314373897,"[0.025, 0.053]",0.5261932319223985,0.48748897707231037,0.565875427138448,"[0.487, 0.566]",0.0,0.0,0.0,"[0.000, 0.000]",7.951388888888889,7.895833333333333,7.993055555555555,"[7.896, 7.993]"
Qwen/Qwen2.5-14B-Instruct,temporal,144,0.45462962962962966,0.4083275462962963,0.4986226851851852,"[0.408, 0.499]",0.013888888888888888,0.0041666666666666675,0.025000000000000005,"[0.004, 0.025]",0.5314814814814814,0.4863368055555556,0.5805555555555555,"[0.486, 0.581]",0.015277777777777779,0.001388888888888889,0.03475694444444442,"[0.001, 0.035]",4.986111111111111,4.9375,5.020833333333333,"[4.938, 5.021]"
claude-sonnet-4-5-20250929,temporal,144,0.3472222222222222,0.30552083333333335,0.39166666666666666,"[0.306, 0.392]",0.11944444444444446,0.08888888888888889,0.1514236111111111,"[0.089, 0.151]",0.5333333333333333,0.4930555555555556,0.5736111111111111,"[0.493, 0.574]",0.015277777777777779,0.0041666666666666675,0.029166666666666667,"[0.004, 0.029]",5.0,5.0,5.0,"[5.000, 5.000]"
